title,lead_in,learning_objectives,illustration,explanation,controlled_practice,extended_practice,practice,isPublic,position,projectId
Environmental Sustainability Practices,and students will be challenged to work together to solve complex problems.,Apply knowledge in practical scenarios,"[{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,example6,individual research project,"[{""question"":""What is the capital of France?"",""answer"":""answer1""},{""question"":""Who wrote Romeo and Juliet?"",""answer"":""answer4""},{""question"":""Who wrote Romeo and Juliet?"",""answer"":""answer3""}]",false,1,1
Coding Bootcamp Essentials,Collaboration and teamwork are essential in this course,Understand key concepts,"[{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Statistical analysis,example13,field trip report,"[{""question"":""What is your favorite color?"",""answer"":""answer1""},{""question"":""What is the largest planet in our solar system?"",""answer"":""answer4""},{""question"":""What is the largest planet in our solar system?"",""answer"":""answer3""}]",true,2,2
Exploring World Literature,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,Analyze and evaluate information,"[{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,example5,simulation exercise,[],false,3,3
Exploring World Literature,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,Apply knowledge in practical scenarios,[],Theoretical approach,example12,individual research project,"[{""question"":""What is the largest planet in our solar system?"",""answer"":""answer1""},{""question"":""What is your favorite color?"",""answer"":""answer5""},{""question"":""What is the largest planet in our solar system?"",""answer"":""answer4""}]",false,4,4
History of Art Movements,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,Demonstrate critical thinking skills,"[{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Statistical analysis,example3,simulation exercise,"[{""question"":""What is the capital of France?"",""answer"":""answer1""},{""question"":""What is the largest planet in our solar system?"",""answer"":""answer1""},{""question"":""What is the largest planet in our solar system?"",""answer"":""answer1""}]",true,5,5
Time Management Skills,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,Analyze and evaluate information,"[{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Theoretical approach,example6,case study analysis,"[{""question"":""Who wrote Romeo and Juliet?"",""answer"":""answer4""},{""question"":""What is your favorite color?"",""answer"":""answer2""}]",false,6,6
Career Development Strategies,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,Demonstrate critical thinking skills,"[{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,example12,case study analysis,[],true,7,7
Spanish Language Basics,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,Apply knowledge in practical scenarios,[],Experimental method,example7,individual research project,"[{""question"":""How many continents are there in the world?"",""answer"":""answer2""}]",true,8,8
Fashion Design Principles,and students will be challenged to work together to solve complex problems.,Understand key concepts,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,example8,simulation exercise,"[{""question"":""What is the capital of France?"",""answer"":""answer4""}]",false,9,9
Introduction to Film Studies,Collaboration and teamwork are essential in this course,Apply knowledge in practical scenarios,[],Statistical analysis,example11,field trip report,"[{""question"":""What is the capital of France?"",""answer"":""answer1""},{""question"":""What is the capital of France?"",""answer"":""answer2""}]",true,10,10
